id,make_id,name,generation,first,last
947,3,GLE63 S AMG,W167,2020,2021
948,3,GLE300D,W167,2019,2021
949,3,GLE350De,W167,2019,2021
950,3,GLE350D,W167,2019,2021
951,3,GLE400D,W167,2019,2021
952,3,CLA180,C118,2019,2021
953,3,CLA200,C118,2019,2021
954,3,CLA220,C118,2019,2021
955,3,CLA250,C118,2019,2021
956,3,CLA35 AMG,C118,2019,2021
957,3,CLA45 AMG,C118,2020,2021
958,3,CLA45 S AMG,C118,2020,2021
959,3,CLA180D,C118,2019,2021
960,3,CLA200D,C118,2019,2021
961,3,CLA220D,C118,2019,2021
962,3,CLA250e,C118,2020,2021
963,3,GLB180,X247,2019,2021
964,3,GLB200,X247,2019,2021
965,3,GLB250,X247,2019,2021
966,3,GLB35 AMG,X247,2020,2021
967,3,GLB180D,X247,2019,2021
968,3,GLB200D,X247,2019,2021
969,3,GLB220D,X247,2019,2021
970,3,GLS450,X167,2019,2021
971,3,GLS580,X167,2019,2021
972,3,GLS600 Maybach,X167,2020,2021
973,3,GLS63 AMG,X167,2020,2021
974,3,GLS350D,X167,2019,2021
975,3,GLS400D,X167,2019,2021
976,4,Mini,Mark I,1959,1966
977,4,Mini,Mark II,1967,1968
978,4,Mini,Mark III,1969,1975
979,4,Mini,Mark IV,1976,1983
980,4,Mini,Mark V,1984,1989
981,4,Mini,Mark VI,1990,1995
982,4,Mini,Mark VII,1996,2000
983,4,Cooper,R50,2001,2006
984,4,Convertible,R52,2004,2008
985,4,Cooper S,R53,2001,2006
986,4,Cooper JCW,R53,2006,2006
987,4,Clubman,R55,2007,2014
988,4,Cooper,R56,2006,2013
989,4,Cooper S,R56,2006,2013
990,4,Convertible,R57,2009,2010
991,4,Cooper JCW,R56,2009,2013
992,4,Coupe,R58,2012,2015
993,4,Roadster,R59,2012,2015
994,4,Countryman,R60,2010,2016
995,4,Paceman,R61,2013,2016
996,4,Clubman,F54,2015,2021
997,4,Countryman,F60,2017,2021
998,4,Cooper,F55,2014,2021
999,4,Cooper S,F55,2014,2021
1000,4,Cooper JCW,F55,2014,2021
1001,4,Cooper,F56,2014,2021
1002,4,Convertible,F57,2014,2021
1003,5,356,Pre-A,1948,1954
1004,5,356A,A,1955,1959
1005,5,356B,B,1960,1963
1006,5,356C,C,1964,1965
1007,5,911,911,1963,1974
1008,5,911,930,1975,1989
1009,5,911,964,1990,1994
1010,5,911,993,1995,1998
1011,5,911,996,1999,2004
1012,5,911,997,2005,2012
1013,5,911,991,2013,2019
1014,5,911,992,2020,2021
1015,5,912,912,1965,1969
1016,5,912E,912E,1976,1976
1017,5,914,914,1969,1976
1018,5,924,924,1976,1988
1019,5,928,928,1977,1995
1020,5,944,944,1982,1991
1021,5,959,959,1986,1993
1022,5,968,968,1991,1995
1023,5,Boxster,986,1996,2004
1024,5,Cayenne,955,2003,2006
1025,5,Cayenne,958,2011,2018
1026,5,Cayenne,9Y0,2019,2021
1027,5,Carrera GT,980,2003,2007
1028,5,Panamera,970,2010,2016
1029,5,Panamera,971,2017,2021
1030,5,918 Spyder,918,2013,2015
1031,5,Macan,95B,2014,2021
1032,5,Taycan,J1,2020,2021
1033,5,Boxster,987,2005,2012
1034,5,Cayman,987,2005,2012
1035,5,Boxster,981,2013,2016
1036,5,Cayman,981,2013,2016
1037,5,718 Boxster,982,2017,2021
1038,5,718 Cayman,982,2017,2021
1039,6,Thing,Type 181,1968,1983
1040,6,Beetle,Type 1,1938,1997
1041,6,Beetle,Type 2,1998,2011
1042,6,Beetle,Type 3,2012,2019
1043,6,Golf,Mk1,1975,1984
1044,6,Golf,Mk2,1985,1993
1045,6,Golf,Mk3,1994,1998
1046,6,Golf,Mk4,1999,2005
1047,6,Golf,Mk5,2006,2009
1048,6,Golf,Mk6,2010,2014
1049,6,Golf,Mk7,2015,2020
1050,6,Golf,Mk8,2021,2021
1051,6,Corrado,G60,1989,1995
1052,6,Dasher,B1,1974,1981
1053,6,EOS,Mk2,2007,2016
1054,6,Fox,Mk1,1987,1993
1055,6,Kharmann Ghia,Type 14,1955,1961
1056,6,Kharmann Ghia,Type 34,1962,1974
1057,6,Phaeton,GP1,2003,2008
1058,6,Phaeton,GP2,2009,2011
1059,6,Phaeton,GP3,2012,2014
1060,6,Phaeton,GP4,2015,2016
1061,6,Quantum,B2,1980,1985
1062,6,Routan,RT,2009,2014
1063,6,Scirocco,Type 53,1975,1981
1064,6,Scirocco,Type 53B,1982,1992
1065,6,Bus,T1,1951,1967
1066,6,Bus,T2,1968,1979
1067,6,Vanagon,T3,1980,1992
1068,6,Jetta,Mk1,1979,1984
1069,6,Jetta,Mk2,1985,1992
1070,6,Jetta,Mk3,1993,1999
1071,6,Jetta,Mk4,2000,2005
1072,6,Jetta,Mk5,2006,2011
1073,6,Jetta,Mk6,2012,2018
1074,6,Jetta,Mk7,2019,2021
1075,6,Passat,B3,1990,1993
1076,6,Passat,B4,1994,2000
1077,6,Passat,B5,2001,2006
1078,6,Passat,B6,2007,2010
1079,6,Passat,B7,2011,2015
1080,6,Passat,B8,2016,2021
1081,6,Tiguan,5N,2007,2016
1082,6,Tiguan,MQB,2017,2021
1083,6,Touareg,7L,2003,2010
1084,6,Touareg,7P,2011,2018
1085,6,Touareg,CR,2019,2021
1086,6,CC,CC,2009,2017
1087,6,Arteon,B8,2018,2021
1088,6,Golf GTI,Mk1,1976,1984
1089,6,Golf GTI,Mk2,1985,1993
1090,6,Golf GTI,Mk3,1994,1998
1091,6,Golf GTI,Mk4,1999,2005
1092,6,Golf GTI,Mk5,2006,2009
1093,6,Golf GTI,Mk6,2010,2014
1094,6,Golf GTI,Mk7,2015,2020
1095,6,Golf GTI,Mk8,2021,2021
1096,6,Golf R32,Mk4,2004,2004
1097,6,Golf R32,Mk5,2007,2007
1098,6,Golf R,Mk6,2012,2014
1099,6,Golf R,Mk7,2013,2020
1100,6,Golf R,Mk8,2021,2021
1101,6,Eurovan,T4,1991,2003
1102,6,Atlas,MQB,2018,2021
1103,6,Squareback,Type 3,1962,1974
1104,2,530i,E28,1982,1988
1105,2,535d,F10-07,2012,2013
1106,2,740Li xDrive,F0X,2009,2015
1107,2,750Li xDrive,F0X,2009,2015
1108,2,750i xDrive,F0X,2009,2015
1109,2,740i xDrive,G1X,2019,2021
1110,2,750i xDrive,G1X,2019,2021
1111,2,X5 M,E70,2007,2013
1112,2,X6 M,E71,2008,2013
1113,3,A220,W177,2019,2021
1114,3,A35 AMG,W177,2019,2021
1115,3,E400,W212,2010,2016
1116,3,E63 S AMG,W212,2010,2016
1117,3,E400,W213,2017,2021
1118,4,Cooper S,F56,2014,2021
1119,5,Cayenne,957,2007,2010
1120,2,325iC,E30,1985,1991
1121,2,640i Gran Coupe,G32,2018,2021
1122,2,640i xDrive Gran Coupe,G32,2018,2021
1123,2,650i Gran Coupe,G32,2018,2021
1124,2,650i xDrive Gran Coupe,G32,2018,2021
1125,3,E550,W211,2003,2009
1126,3,ML550,W164,2006,2011
1127,3,ML63 AMG,W164,2006,2011
1128,3,S600,W220,2000,2006
1129,7,S500,S500,1963,1964
1130,7,S600,S600,1964,1966
1131,7,S800,S800,1966,1970
